"Id","Sales"
1,4195.84996018006
2,8392.08785265675
3,9707.096692747
4,7469.23641211048
5,6552.6291470238
6,6130.35121900061
7,8221.43405145711
8,8353.12265138259
9,4163.77981651376
10,6100.17194139557
11,7306.28062780461
12,8794.1438558538
13,7838.41273858612
14,7699.77981651376
15,5680.18855697623
16,3888.14678899083
17,6339.90130415137
18,9609.30981194351
19,10898.5070855386
20,10474.9520645542
21,8240.03299013294
22,5619.05723580758
23,6444.17867370348
24,3609.46788990826
25,7539.42663802602
26,10772.1910262438
27,7960
28,6334.8404127869
29,5580.64535532873
30,5225.43115574218
31,4569.93577981651
32,11031.4290584944
33,8351.30006727142
34,5525.48210785181
35,4470.66972477064
36,8102.55814943126
37,3805.4437357847
38,7903.50686441802
39,4777.05375747024
40,5711.88990825688
41,6490.5871559633
42,5803.89702881379
43,8540.419080515
44,5359.70642201835
45,5039.08936716468
46,6657.52837424835
47,8168.05732924921
48,12728.1597934721
49,6417.29238601734
50,8578.95199206246
51,6855.10346352167
52,9979.6528674748
53,6727.19372102511
54,10110.1140718253
55,3970.60550458716
56,4954.00137157333
57,6622.62433443953
58,6318.35226426288
59,7733.49541284404
60,8282.49144558765
61,6099.11544865352
62,7833.96324675859
63,5479.74311926606
64,11577.1087634045
65,4559.55104830693
66,13793.6114322811
67,4887.41469477369
68,5211.07339449541
69,9272.58049918503
70,6347.32525961697
71,6750.17485585551
72,6722.66372575982
73,8089.16688383226
74,5731.31253899872
75,4244.07339449541
76,6510.69724770642
77,8420.05035397883
78,7711.69851055506
79,4962.98967140816
80,7836.99942533843
81,9245.38532110092
82,6824.77095342
83,4588.55943003911
84,7473.30937646246
85,6275.64929578335
86,5856.77981651376
87,5848.14678899083
88,4026.37969342987
89,8078.34260657049
90,6307.44878631681
91,7811.73325283505
92,6819.04818520164
93,4285.81161544205
94,6459.55545446807
95,4282.70642201835
96,8232.14379009453
97,8052.66972477064
98,5517.85439523118
99,5089.07249321046
100,5378.30275229358
101,6081.02034328315
102,4581.22935779817
103,7075.95412844037
104,5709.65137614679
